V1,V2,V3
789,540650,171950
790,541150,171950
791,542650,171950
792,544650,171950
793,550150,171950
794,552650,171950
795,554650,171950
796,555150,171950
797,555650,171950
798,557650,171950
799,558650,171950
800,559150,171950
801,519150,171450
802,519650,171450
803,524150,171450
804,525150,171450
805,526650,171450
806,529650,171450
807,537650,171450
808,539150,171450
809,539650,171450
810,542650,171450
811,543150,171450
812,543650,171450
813,544150,171450
814,544650,171450
815,546150,171450
816,548150,171450
817,554150,171450
818,554650,171450
819,556150,171450
820,558650,171450
821,559150,171450
822,517650,170950
823,518650,170950
824,519650,170950
825,530650,170950
826,532650,170950
827,533150,170950
828,536150,170950
829,539150,170950
830,539650,170950
831,543650,170950
832,544150,170950
833,546150,170950
834,546650,170950
835,548650,170950
836,550150,170950
837,551650,170950
838,552150,170950
839,553650,170950
840,556150,170950
841,558150,170950
842,558650,170950
843,518150,170450
844,533150,170450
845,535650,170450
846,536150,170450
847,539150,170450
848,539650,170450
849,545150,170450
850,551650,170450
851,553650,170450
852,554650,170450
853,557150,170450
854,557650,170450
855,514150,169950
856,519150,169950
857,533150,169950
858,536150,169950
859,537650,169950
860,539150,169950
861,541650,169950
862,542150,169950
863,545150,169950
864,545650,169950
865,548650,169950
866,551650,169950
867,554650,169950
868,555150,169950
869,557650,169950
870,511650,169450
871,514150,169450
872,519150,169450
873,530150,169450
874,532150,169450
875,535150,169450
876,542150,169450
877,542650,169450
878,547150,169450
879,547650,169450
880,550150,169450
881,550650,169450
882,551150,169450
883,551650,169450
884,553650,169450
885,554650,169450
886,555150,169450
887,557650,169450
888,513650,168950
889,514150,168950
890,514650,168950
891,515150,168950
892,520150,168950
893,522650,168950
894,528150,168950
895,528650,168950
896,529150,168950
897,530150,168950
898,533650,168950
899,534150,168950
900,541150,168950
901,541650,168950
902,543150,168950
903,546150,168950
904,546650,168950
905,550150,168950
906,550650,168950
907,551150,168950
908,551650,168950
909,554150,168950
910,555150,168950
911,557150,168950
912,557650,168950
913,515150,168450
914,518150,168450
915,526650,168450
916,528650,168450
917,529150,168450
918,531650,168450
919,534650,168450
920,541150,168450
921,544150,168450
922,544650,168450
923,546150,168450
924,550150,168450
925,550650,168450
926,551150,168450
927,551650,168450
928,553650,168450
929,511150,167950
930,512150,167950
