shapeid	x	y
731	46.70754	6.40096
732	46.70794	6.44673
733	46.70891	6.56441
734	46.70896	6.57095
735	46.709	6.57749
736	46.71	6.72133
737	46.71004	6.72787
738	46.71047	6.79979
739	46.71068	6.83903
740	46.71071	6.84556
741	46.71085	6.87172
742	46.71091	6.8848
743	46.71106	6.91749
744	46.70255	6.34875
745	46.70267	6.36183
746	46.70274	6.36836
747	46.70339	6.44027
748	46.70345	6.44681
749	46.70389	6.49911
750	46.70441	6.56449
751	46.70446	6.57102
752	46.70465	6.59717
753	46.7047	6.60371
754	46.70484	6.62332
755	46.7055	6.72139
756	46.7057	6.75408
757	46.70574	6.76062
758	46.70593	6.79331
759	46.70611	6.826
760	46.70615	6.83254
761	46.70618	6.83908
762	46.70641	6.88484
763	46.69923	6.47958
764	46.69996	6.5711
765	46.70016	6.59724
766	46.7002	6.60378
767	46.70066	6.66915
768	46.70071	6.67569
769	46.70117	6.7476
770	46.70121	6.75414
771	46.70124	6.76068
772	46.70151	6.80644
773	46.70161	6.82605
774	46.70165	6.83259
775	46.70172	6.84566
776	46.70175	6.8522
777	46.70191	6.88489
778	46.70201	6.9045
779	46.69386	6.38161
780	46.69416	6.41429
781	46.69422	6.42083
782	46.69456	6.46005
783	46.69462	6.46658
784	46.69467	6.47312
785	46.69473	6.47966
786	46.69505	6.51888
787	46.69546	6.57117
788	46.69603	6.64961
789	46.69612	6.66268
790	46.69617	6.66922
791	46.6963	6.68883
792	46.69647	6.71497
793	46.6969	6.78688
794	46.69708	6.81956
795	46.69722	6.84571
796	46.69725	6.85225
797	46.69729	6.85879
798	46.69742	6.88493
799	46.69748	6.89801
800	46.69751	6.90454
801	46.68937	6.3817
802	46.68943	6.38824
803	46.68995	6.44706
804	46.69007	6.46013
805	46.69023	6.47974
806	46.69056	6.51895
807	46.69135	6.62353
808	46.69149	6.64314
809	46.69153	6.64967
810	46.6918	6.68889
811	46.69184	6.69543
812	46.69188	6.70196
813	46.69193	6.7085
814	46.69197	6.71503
815	46.69209	6.73464
816	46.69225	6.76079
817	46.69269	6.83922
818	46.69272	6.84576
819	46.69282	6.86537
820	46.69298	6.89805
821	46.69301	6.90459
822	46.68469	6.36218
823	46.68481	6.37525
824	46.68493	6.38832
825	46.68616	6.5321
826	46.68637	6.55824
827	46.68642	6.56478
828	46.68671	6.60399
829	46.68699	6.6432
830	46.68704	6.64974
831	46.68739	6.70202
832	46.68743	6.70856
833	46.68759	6.7347
834	46.68763	6.74124
835	46.68779	6.76738
836	46.6879	6.78699
837	46.68801	6.8066
838	46.68805	6.81313
839	46.68816	6.83274
840	46.68833	6.86542
841	46.68845	6.89156
842	46.68848	6.8981
843	46.68025	6.36881
844	46.68192	6.56485
845	46.68217	6.59752
846	46.68221	6.60406
847	46.68249	6.64327
848	46.68254	6.6498
849	46.68301	6.72169
850	46.68352	6.80665
851	46.68366	6.83279
852	46.68373	6.84586
853	46.68389	6.87854
854	46.68392	6.88507
855	46.67525	6.31663
856	46.67587	6.38197
857	46.67742	6.56492
858	46.67772	6.60413
859	46.67786	6.62373
860	46.678	6.64334
861	46.67822	6.67601
862	46.67826	6.68254
863	46.67852	6.72175
864	46.67856	6.72828
865	46.6788	6.76749
866	46.67902	6.8067
867	46.67923	6.84591
868	46.67926	6.85244
869	46.67943	6.88512
870	46.67043	6.28405
871	46.67075	6.31672
872	46.67138	6.38205
873	46.67262	6.52579
874	46.67282	6.55193
875	46.67312	6.59113
876	46.67377	6.68261
877	46.67381	6.68914
878	46.67418	6.74795
879	46.67422	6.75448
880	46.67441	6.78715
881	46.67445	6.79369
882	46.67449	6.80022
883	46.67452	6.80675
884	46.67466	6.83289
885	46.67473	6.84596
886	46.67477	6.85249
887	46.67493	6.88516
888	46.66619	6.31028
889	46.66626	6.31681
890	46.66632	6.32335
891	46.66638	6.32988
892	46.667	6.39521
893	46.66729	6.42787
894	46.66791	6.49974
895	46.66796	6.50627
896	46.66802	6.5128
897	46.66812	6.52587
898	46.66848	6.5716
899	46.66853	6.57813
900	46.66918	6.6696
901	46.66922	6.67614
902	46.66935	6.69574
903	46.6696	6.73494
904	46.66964	6.74147
905	46.66991	6.78721
906	46.66995	6.79374
907	46.66999	6.80027
908	46.67002	6.80681
909	46.6702	6.83947
910	46.67027	6.85254
911	46.6704	6.87868
912	46.67043	6.88521
913	46.66189	6.32997
914	46.66226	6.36916
915	46.66325	6.48022
916	46.66346	6.50635
917	46.66352	6.51288
918	46.66378	6.54554
919	46.66408	6.58474
920	46.66468	6.66967
921	46.66494	6.70886
922	46.66498	6.7154
923	46.66511	6.735
924	46.66542	6.78726
925	46.66545	6.79379
926	46.66549	6.80033
927	46.66553	6.80686
928	46.66567	6.83299
